id:112095534, acertos:36, precisao:1.000000, revocacao:1.000000, len attr1(xpath):36, len attr2(gab):36
id:112095551, acertos:36, precisao:1.000000, revocacao:1.000000, len attr1(xpath):36, len attr2(gab):36
id:112095577, acertos:36, precisao:1.000000, revocacao:1.000000, len attr1(xpath):36, len attr2(gab):36
id:112095593, acertos:36, precisao:1.000000, revocacao:1.000000, len attr1(xpath):36, len attr2(gab):36
id:112095614, acertos:39, precisao:1.000000, revocacao:1.000000, len attr1(xpath):39, len attr2(gab):39
id:112095673, acertos:39, precisao:1.000000, revocacao:1.000000, len attr1(xpath):39, len attr2(gab):39
id:112099113, acertos:39, precisao:1.000000, revocacao:1.000000, len attr1(xpath):39, len attr2(gab):39
id:112099130, acertos:37, precisao:1.000000, revocacao:1.000000, len attr1(xpath):37, len attr2(gab):37
id:112128922, acertos:37, precisao:0.973684, revocacao:1.000000, len attr1(xpath):38, len attr2(gab):38
id:112128949, acertos:34, precisao:0.971429, revocacao:1.000000, len attr1(xpath):35, len attr2(gab):35
id:112128965, acertos:34, precisao:0.971429, revocacao:1.000000, len attr1(xpath):35, len attr2(gab):35
id:112128981, acertos:34, precisao:0.971429, revocacao:1.000000, len attr1(xpath):35, len attr2(gab):35
id:112129001, acertos:34, precisao:0.971429, revocacao:1.000000, len attr1(xpath):35, len attr2(gab):35
id:112129028, acertos:34, precisao:0.971429, revocacao:1.000000, len attr1(xpath):35, len attr2(gab):35
id:112161861, acertos:36, precisao:1.000000, revocacao:1.000000, len attr1(xpath):36, len attr2(gab):36
id:112161888, acertos:38, precisao:1.000000, revocacao:1.000000, len attr1(xpath):38, len attr2(gab):38
id:112163875, acertos:35, precisao:1.000000, revocacao:1.000000, len attr1(xpath):35, len attr2(gab):35
id:112163891, acertos:35, precisao:1.000000, revocacao:1.000000, len attr1(xpath):35, len attr2(gab):35
id:112183876, acertos:35, precisao:1.000000, revocacao:1.000000, len attr1(xpath):35, len attr2(gab):35
id:112194680, acertos:34, precisao:0.971429, revocacao:1.000000, len attr1(xpath):35, len attr2(gab):35
id:112194743, acertos:38, precisao:0.974359, revocacao:1.000000, len attr1(xpath):39, len attr2(gab):39
id:112194786, acertos:35, precisao:0.972222, revocacao:1.000000, len attr1(xpath):36, len attr2(gab):36
id:112194807, acertos:35, precisao:0.972222, revocacao:1.000000, len attr1(xpath):36, len attr2(gab):36
id:112194840, acertos:34, precisao:0.971429, revocacao:1.000000, len attr1(xpath):35, len attr2(gab):35
id:112194866, acertos:38, precisao:0.974359, revocacao:1.000000, len attr1(xpath):39, len attr2(gab):39
id:112194882, acertos:35, precisao:0.972222, revocacao:1.000000, len attr1(xpath):36, len attr2(gab):36
id:112194903, acertos:34, precisao:0.971429, revocacao:1.000000, len attr1(xpath):35, len attr2(gab):35
id:112194920, acertos:34, precisao:1.000000, revocacao:1.000000, len attr1(xpath):34, len attr2(gab):34
id:112194946, acertos:35, precisao:1.000000, revocacao:1.000000, len attr1(xpath):35, len attr2(gab):35
id:112194962, acertos:35, precisao:1.000000, revocacao:1.000000, len attr1(xpath):35, len attr2(gab):35
id:112214062, acertos:36, precisao:1.000000, revocacao:1.000000, len attr1(xpath):36, len attr2(gab):36
id:112214089, acertos:36, precisao:1.000000, revocacao:1.000000, len attr1(xpath):36, len attr2(gab):36
id:112214100, acertos:36, precisao:1.000000, revocacao:1.000000, len attr1(xpath):36, len attr2(gab):36
id:112253854, acertos:34, precisao:1.000000, revocacao:1.000000, len attr1(xpath):34, len attr2(gab):34
id:112253871, acertos:34, precisao:1.000000, revocacao:1.000000, len attr1(xpath):34, len attr2(gab):34
id:112253918, acertos:38, precisao:1.000000, revocacao:1.000000, len attr1(xpath):38, len attr2(gab):38
id:112253993, acertos:35, precisao:1.000000, revocacao:1.000000, len attr1(xpath):35, len attr2(gab):35
id:112350865, acertos:35, precisao:1.000000, revocacao:1.000000, len attr1(xpath):35, len attr2(gab):35
id:112369689, acertos:36, precisao:1.000000, revocacao:1.000000, len attr1(xpath):36, len attr2(gab):36
id:112424684, acertos:35, precisao:1.000000, revocacao:1.000000, len attr1(xpath):35, len attr2(gab):35
id:112565719, acertos:38, precisao:1.000000, revocacao:1.000000, len attr1(xpath):38, len attr2(gab):38
id:112569867, acertos:38, precisao:1.000000, revocacao:1.000000, len attr1(xpath):38, len attr2(gab):38
id:112763707, acertos:39, precisao:1.000000, revocacao:1.000000, len attr1(xpath):39, len attr2(gab):39
id:112763803, acertos:37, precisao:0.948718, revocacao:1.000000, len attr1(xpath):39, len attr2(gab):39
id:112768436, acertos:36, precisao:1.000000, revocacao:1.000000, len attr1(xpath):36, len attr2(gab):36
id:112768452, acertos:36, precisao:1.000000, revocacao:1.000000, len attr1(xpath):36, len attr2(gab):36
id:112774001, acertos:36, precisao:1.000000, revocacao:1.000000, len attr1(xpath):36, len attr2(gab):36
id:112837972, acertos:36, precisao:1.000000, revocacao:1.000000, len attr1(xpath):36, len attr2(gab):36
id:112858829, acertos:39, precisao:1.000000, revocacao:1.000000, len attr1(xpath):39, len attr2(gab):39
id:112858909, acertos:36, precisao:1.000000, revocacao:1.000000, len attr1(xpath):36, len attr2(gab):36
id:112886969, acertos:40, precisao:1.000000, revocacao:1.000000, len attr1(xpath):40, len attr2(gab):40
id:112910009, acertos:36, precisao:1.000000, revocacao:1.000000, len attr1(xpath):36, len attr2(gab):36
id:112962327, acertos:38, precisao:0.974359, revocacao:1.000000, len attr1(xpath):39, len attr2(gab):39
id:112962343, acertos:38, precisao:0.974359, revocacao:1.000000, len attr1(xpath):39, len attr2(gab):39
id:112974740, acertos:35, precisao:0.972222, revocacao:1.000000, len attr1(xpath):36, len attr2(gab):36
id:112996105, acertos:38, precisao:0.974359, revocacao:1.000000, len attr1(xpath):39, len attr2(gab):39
id:113056828, acertos:36, precisao:1.000000, revocacao:1.000000, len attr1(xpath):36, len attr2(gab):36
id:113059156, acertos:26, precisao:1.000000, revocacao:1.000000, len attr1(xpath):26, len attr2(gab):26
id:113059172, acertos:32, precisao:1.000000, revocacao:1.000000, len attr1(xpath):32, len attr2(gab):32
id:113099924, acertos:36, precisao:0.972973, revocacao:1.000000, len attr1(xpath):37, len attr2(gab):37
id:113099967, acertos:35, precisao:0.972222, revocacao:1.000000, len attr1(xpath):36, len attr2(gab):36
id:113103006, acertos:36, precisao:1.000000, revocacao:1.000000, len attr1(xpath):36, len attr2(gab):36
id:113103065, acertos:36, precisao:1.000000, revocacao:1.000000, len attr1(xpath):36, len attr2(gab):36
id:113103081, acertos:36, precisao:1.000000, revocacao:1.000000, len attr1(xpath):36, len attr2(gab):36
id:113103188, acertos:34, precisao:1.000000, revocacao:1.000000, len attr1(xpath):34, len attr2(gab):34
id:113243375, acertos:35, precisao:1.000000, revocacao:1.000000, len attr1(xpath):35, len attr2(gab):35
id:113243391, acertos:39, precisao:1.000000, revocacao:1.000000, len attr1(xpath):39, len attr2(gab):39
id:113243412, acertos:39, precisao:1.000000, revocacao:1.000000, len attr1(xpath):39, len attr2(gab):39
id:113243439, acertos:36, precisao:1.000000, revocacao:1.000000, len attr1(xpath):36, len attr2(gab):36
id:113289251, acertos:35, precisao:1.000000, revocacao:1.000000, len attr1(xpath):35, len attr2(gab):35
id:113289277, acertos:35, precisao:1.000000, revocacao:1.000000, len attr1(xpath):35, len attr2(gab):35
id:113289293, acertos:35, precisao:1.000000, revocacao:1.000000, len attr1(xpath):35, len attr2(gab):35
id:113289331, acertos:37, precisao:1.000000, revocacao:1.000000, len attr1(xpath):37, len attr2(gab):37
id:113322209, acertos:37, precisao:0.973684, revocacao:1.000000, len attr1(xpath):38, len attr2(gab):38
id:113357014, acertos:35, precisao:1.000000, revocacao:1.000000, len attr1(xpath):35, len attr2(gab):35
id:113357031, acertos:30, precisao:1.000000, revocacao:1.000000, len attr1(xpath):30, len attr2(gab):30
id:113396371, acertos:34, precisao:1.000000, revocacao:1.000000, len attr1(xpath):34, len attr2(gab):34
